,sno,DISTRICT,NAME,WINNERCANDIDATE,WINNERPARTY,WINNERVOTES,WINNERPERCENTAGE,RUNNERUPVOTES,RUNNERUPCANDIDATE,RUNNERUPPARTY,RUNNERUPPERCENTAGE,MARGIN,percentage_margin,POLLING_ON
0,1,Saharanpur District,Behat,Umar Ali Khan,SP,134513,47.81,96633,Naresh Saini,BJP,34.34,37880,13.47,14 February 2022
1,2,Saharanpur District,Nakur,Mukesh Choudhary,BJP,104114,38.47,103799,Dharam Singh Saini,SP,38.35,315,0.12,14 February 2022
2,3,Saharanpur District,Saharanpur Nagar,Rajeev Gumber,BJP,143195,48.85,135761,Sanjay Garg,SP,46.32,7434,2.53,14 February 2022
3,4,Saharanpur District,Saharanpur,Ashu Malik,SP,107007,41.18,76262,Jagpal Singh,BJP,29.35,30745,11.83,14 February 2022
4,5,Saharanpur District,Deoband[124],Th. Brijesh Singh,BJP,93890,38.77,86786,Kartikeya Rana,SP,35.83,7104,2.94,14 February 2022
5,6,Saharanpur District,Rampur Maniharan (SC),Devendra Kumar Nim,BJP,89109,38.37,68516,Ravindra Kumar,BSP,29.5,20593,8.87,14 February 2022
6,7,Saharanpur District,Gangoh,Kirat Singh,BJP,116582,43.08,93133,Inder Sain,SP,34.42,23449,8.66,14 February 2022
7,8,Shamli District,Kairana,Nahid Hasan,SP,131035,54.16,105148,Mriganka Singh,BJP,43.46,25887,10.7,10 February 2022
8,9,Shamli District,Thana Bhawan,Ashraf Ali Khan,RLD,103751,47.47,92945,Suresh Rana,BJP,42.53,10806,4.94,10 February 2022
9,10,Shamli District,Shamli,Persann Kumar Chaudhary,RLD,103070,48.86,95963,Tejendra Nirwal,BJP,45.49,7107,3.37,10 February 2022
10,11,Muzaffarnagar District,Budhana,Rajpal Singh Baliyan,RLD,131093,51.28,102783,Umesh Malik,BJP,40.21,28310,11.07,10 February 2022
11,12,Muzaffarnagar District,Charthawal,Pankaj Kumar Malik,SP,97363,43.82,92029,Sapna Kashyap,BJP,41.42,5334,2.4,10 February 2022
12,13,Muzaffarnagar District,Purqazi (SC),Anil Kumar,RLD,92672,43.09,86140,Pramod Utwal,BJP,40.05,6532,3.04,10 February 2022
13,14,Muzaffarnagar District,Muzaffarnagar,Kapil Dev Aggarwal,BJP,111794,49.57,93100,Saurabh Swaroop,RLD,41.28,18694,8.29,10 February 2022
14,15,Muzaffarnagar District,Khatauli,Vikram Singh Saini,BJP,100651,45.34,84306,Rajpal Singh Saini,RLD,37.98,16345,7.36,10 February 2022
15,16,Muzaffarnagar District,Meerapur,Chandan Chauhan,RLD,107421,49.57,80041,Prashant Chaudhary,BJP,36.94,27380,12.63,10 February 2022
16,17,Bijnor District,Najibabad,Tasleem Ahmad,SP,102675,44.14,78905,Kunwar Bharatendu Singh,BJP,33.92,23770,10.22,14 February 2022
17,18,Bijnor District,Nagina (SC),Manoj Kumar Paras,SP,97155,43.51,70704,Dr. Yashwant,BJP,31.67,26451,11.84,14 February 2022
18,19,Bijnor District,Barhapur,Kunwar Sushant Singh,BJP,100100,41.58,85755,Kapil Kumar,SP,35.62,14345,5.96,14 February 2022
19,20,Bijnor District,Dhampur,Ashok Kumar Rana,BJP,81791,39.89,81588,Naeemul Hasan,SP,39.79,203,0.1,14 February 2022
20,21,Bijnor District,Nehtaur (SC),Omkumar,BJP,77935,38.98,77677,Munshi Ram,RLD,38.86,258,0.12,14 February 2022
21,22,Bijnor District,Bijnor,Suchi Mausam Chaudhary,BJP,97165,38.54,95720,Neeraj Chaudhary,RLD,37.96,1445,0.58,14 February 2022
22,23,Bijnor District,Chandpur,Swami Omvesh,SP,90522,40.34,90288,Kamlesh Saini,BJP,40.24,234,0.1,14 February 2022
